"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07999992370605","","","6.44999980926514","","","7.44999980926514","","","6.92000007629395","6.90000009536743","","","","","","5.71000003814697","","","10.6000003814697","8.89999961853027","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49000000953674","","","","1.69000005722046","","7.90999984741211","","","11.1800003051758","","","11.710000038147","5.57999992370605",
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34589794803009","","","6.97144147196865","","","","",
"Angola","AGO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","14.1999998092651","14.8999996185303","18.8999996185303","","","","","","","","","","","","","","","","","","23.6399993896484","","","","","3.77999997138977","9.43000030517578","7.3600001335144","","","9.57999992370605","","","","","","","",
"Albania","ALB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","5.59999990463257","5.09999990463257","3.59999990463257","4.40000009536743","5.69999980926514","6.69999980926514","6.40000009536743","6.09999990463257","7","7.30000019073486","9.5","9.10000038146973","26.5","22.2999992370605","18.3999996185303","12.8999996185303","12.3000001907349","14.8999996185303","17.7000007629395","18.3999996185303","16.7999992370605","16.3999996185303","4.6100001335144","15","14.3999996185303","6.57000017166138","13.8000001907349","15.9700002670288","13.0600004196167","13.6700000762939","14.0900001525879","13.4799995422363","13.3800001144409","15.8699998855591","18.0499992370605","17.1900005340576","15.4200000762939","13.6199998855591","12.3000001907349","11.4700002670288","","",
"Andorra","AND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0996613835768","10.4693727311922","9.99128649863317","9.21052391035988","","","","","","9.62946875752889","","","","","",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","1.96000003814697","","","","","","","","","","1.14999997615814","","","","","","","","","","1.79999995231628","","","","","2.25","","","","","3.11999988555908","","","","","","","","","","","1.63999998569489","2.46000003814697","2.24000000953674","2.32999992370605","4.28999996185303","3.10999989509583",
"Argentina","ARG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","4.80000019073486","6","6.59999990463257","5.59999990463257","3.40000009536743","2.29999995231628","4.5","2.79999995231628","2.79999995231628","2","2.29999995231628","4.5","4.73000001907349","4.17000007629395","3.53999996185303","5.30000019073486","4.40000009536743","5.30000019073486","6","7.30000019073486","7.05999994277954","5.44000005722046","6.3600001335144","10.1000003814697","11.7600002288818","18.7999992370605","17.1100006103516","14.8199996948242","12.6499996185303","14.0500001907349","15","17.3199996948242","19.5900001525879","15.3599996566772","13.5200004577637","11.5100002288818","10.0799999237061","8.47000026702881","7.84000015258789","8.64999961853027","7.71000003814697","7.17999982833862","7.21999979019165","7.09999990463257","7.26999998092651","","","8.35000038146973","9.22000026702881","9.84000015258789","11.460000038147","8.73999977111816",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","","","","","","","","9.8100004196167","22.9699993133545","18.4400005340576","19.0100002288818","18.4400005340576","17.2999992370605","16.1800003051758","17.5","18.2600002288818","17.6200008392334","17.7000007629395","13.210000038147","12.1999998092651","12.1800003051758","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.9899997711182","17.2399997711182","19.0799999237061","14.8699998855591","13.789999961853","14.3500003814697","12.4099998474121","12.6099996566772","12.7799997329712","12.960000038147","13.1099996566772","13.289999961853","13.3800001144409","","","","5.1100001335144","","","","","","","","","","5.05000019073486","","","","","9.97999954223633","","","","","9.19999980926514","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.4599990844727","19.4599990844727","19.4500007629395","20.6900005340576","","","","","","","","","","","","","","","6","","","","","","","","","","8.42000007629395","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.26000022888184","6.1100001335144","5.78000020980835","7.15999984741211","9.96000003814697","8.98999977111816","8.26000022888184","8.07999992370605","8.10999965667725","7.23000001907349","6.17999982833862","6.92999982833862","9.57999992370605","10.7299995422363","10.8699998855591","9.72000026702881","8.47000026702881","8.51000022888184","8.35999965667725","7.67999982833862","6.86999988555908","6.28000020980835","6.73999977111816","6.36999988555908","5.92999982833862","5.3899998664856","5.03000020980835","4.78000020980835","4.38000011444092","4.23000001907349","5.55999994277954","5.21000003814697","5.07999992370605","5.21999979019165","5.65999984741211","6.07999992370605","6.05000019073486","5.71000003814697","5.59000015258789","5.30000019073486","5.15999984741211","6.46000003814697","5.11999988555908",
